API Name,UI Name,Description
eventCount,Event count,The count of events.
eventCountPerUser,Event count per user,The average number of events per user (Event count divided by Active users).
eventValue,Event value,The sum of the event parameter named value.
eventsPerSession,Events per session,The average number of events per session (Event count divided by Sessions).
firstTimePurchaserRate,First-time purchaser rate,"The percentage of active users who made their first purchase. This metric is returned as a fraction; for example, 0.092 means 9.2% of active users were first time purchasers."
firstTimePurchasers,First time purchasers,The number of users that completed their first purchase event.
firstTimePurchasersPerNewUser,First-time purchasers per new user,The average number of first time purchasers per new user.
grossItemRevenue,Gross item revenue,The total revenue from items only. Gross item revenue is the product of its price and quantity. Item revenue excludes tax and shipping values; tax & shipping values are specified at the event and not item level. Gross item revenue does not include refunds.
grossPurchaseRevenue,Gross purchase revenue,"The sum of revenue from purchases made in your app or site. Gross purchase revenue sums the revenue for these events: purchase, ecommerce_purchase, in_app_purchase, app_store_subscription_convert, and app_store_subscription_renew. Purchase revenue is specified by the value parameter in tagging."
itemDiscountAmount,Item discount amount,The monetary value of item discounts in eCommerce events. This metric is populated in tagging by the discount item parameter.
itemListClickEvents,Item-list click events,The number of times users clicked an item when it appeared in a list. This metric counts the occurrence of the select_item event.
itemListClickThroughRate,Item list click through rate,"The number of users who selected a list(s) divided by the number of users who viewed the same list(s). This metric is returned as a fraction; for example, 0.2145 means 21.45% of users who viewed a list also selected the same list."
itemListViewEvents,Item-list view events,The number of times the item list was viewed. This metric counts the occurrence of the view_item_list event.
itemPromotionClickThroughRate,Item promotion click through rate,"The number of users who selected a promotion(s) divided by the number of users who viewed the same promotion(s). This metric is returned as a fraction; for example, 0.1382 means 13.82% of users who viewed a promotion also selected the promotion."
itemRefundAmount,Item refund amount,Item refund amount is the total refunded transaction revenue from items only. Item refund amount is the product of price and quantity for the refund event.
itemRevenue,Item revenue,The total revenue from purchases minus refunded transaction revenue from items only. Item revenue is the product of its price and quantity. Item revenue excludes tax and shipping values; tax & shipping values are specified at the event and not item level.
itemViewEvents,Item view events,The number of times the item details were viewed. The metric counts the occurrence of the view_item event.
itemsAddedToCart,Items added to cart,The number of units added to cart for a single item. This metric counts the quantity of items in add_to_cart events.
itemsCheckedOut,Items checked out,The number of units checked out for a single item. This metric counts the quantity of items in begin_checkout events.
itemsClickedInList,Items clicked in list,The number of units clicked in list for a single item. This metric counts the quantity of items in select_item events.
itemsClickedInPromotion,Items clicked in promotion,The number of units clicked in promotion for a single item. This metric counts the quantity of items in select_promotion events.
itemsPurchased,Items purchased,The number of units for a single item included in purchase events. This metric counts the quantity of items in purchase events.
itemsViewed,Items viewed,The number of units viewed for a single item. This metric counts the quantity of items in view_item events.
itemsViewedInList,Items viewed in list,The number of units viewed in list for a single item. This metric counts the quantity of items in view_item_list events.
itemsViewedInPromotion,Items viewed in promotion,The number of units viewed in promotion for a single item. This metric counts the quantity of items in view_promotion events.
keyEvents,Key events,"The count of key events. Marking an event as a key event affects reports from time of creation. It doesn't change historic data. You can mark any event as key in Google Analytics, and some events (such as first_open or purchase) are marked as key events by default."
newUsers,New users,The number of users who interacted with your site or launched your app for the first time (event triggered: first_open or first_visit).
organicGoogleSearchAveragePosition,Organic Google Search average position,"The average ranking of your website URLs for the query reported from Search Console. For example, if your site's URL appears at position 3 for one query and position 7 for another query, the average position would be 5 (3+7/2). This metric requires an active Search Console link."
organicGoogleSearchClickThroughRate,Organic Google Search click through rate,"The organic Google Search click through rate reported from Search Console. Click through rate is clicks per impression. This metric is returned as a fraction; for example, 0.0588 means about 5.88% of impressions resulted in a click. This metric requires an active Search Console link."
organicGoogleSearchClicks,Organic Google Search clicks,The number of organic Google Search clicks reported from Search Console. This metric requires an active Search Console link.
organicGoogleSearchImpressions,Organic Google Search impressions,The number of organic Google Search impressions reported from Search Console. This metric requires an active Search Console link.
promotionClicks,Promotion clicks,The number of times an item promotion was clicked. This metric counts the occurrence of the select_promotion event.
promotionViews,Promotion views,The number of times an item promotion was viewed. This metric counts the occurrence of the view_promotion event.
publisherAdClicks,Publisher ad clicks,The number of ad_click events.
publisherAdImpressions,Publisher ad impressions,The number of ad_impression events.
purchaseRevenue,Purchase revenue,"The sum of revenue from purchases minus refunded transaction revenue made in your app or site. Purchase revenue sums the revenue for these events: purchase, ecommerce_purchase, in_app_purchase, app_store_subscription_convert, and app_store_subscription_renew. Purchase revenue is specified by the value parameter in tagging."
purchaseToViewRate,Purchase-to-view rate,"The number of users who purchased a product(s) divided by the number of users who viewed the same product(s). This metric is returned as a fraction; for example, 0.128 means 12.8% of users that viewed a product(s) also purchased the same product(s)."
purchaserRate,Purchaser rate,"The percentage of active users who made 1 or more purchase transactions. This metric is returned as a fraction; for example, 0.412 means 41.2% of users were purchasers."
refundAmount,Refund amount,The total refunded transaction revenues. Refund amount sums refunded revenue for the refund and app_store_refund events.
returnOnAdSpend,Return on ad spend,Return On Ad Spend (ROAS) is total revenue divided by advertiser ad cost.
screenPageViews,Views,The number of app screens or web pages your users viewed. Repeated views of a single page or screen are counted. (screen_view + page_view events).
screenPageViewsPerSession,Views per session,The number of app screens or web pages your users viewed per session. Repeated views of a single page or screen are counted. (screen_view + page_view events) / sessions.
screenPageViewsPerUser,Views per user,The number of app screens or web pages your users viewed per active user. Repeated views of a single page or screen are counted. (screen_view + page_view events) / active users.
scrolledUsers,Scrolled users,The number of unique users who scrolled down at least 90% of the page.
sessionKeyEventRate,Session key event rate,The percentage of sessions in which any key event was triggered.
sessions,Sessions,The number of sessions that began on your site or app (event triggered: session_start).
sessionsPerUser,Sessions per user,The average number of sessions per user (Sessions divided by Active Users).
shippingAmount,Shipping amount,Shipping amount associated with a transaction. Populated by the shipping event parameter.
taxAmount,Tax amount,Tax amount associated with a transaction. Populated by the tax event parameter.
totalAdRevenue,Total ad revenue,The total advertising revenue from both Admob and third-party sources.
totalPurchasers,Total purchasers,The number of users that logged purchase events for the time period selected.
totalRevenue,Total revenue,"The sum of revenue from purchases, subscriptions, and advertising (Purchase revenue plus Subscription revenue plus Ad revenue) minus refunded transaction revenue."
totalUsers,Total users,"The number of distinct users who have logged at least one event, regardless of whether the site or app was in use when that event was logged."
transactions,Transactions,"The count of transaction events with purchase revenue. Transaction events are in_app_purchase, ecommerce_purchase, purchase, app_store_subscription_renew, app_store_subscription_convert, and refund."
transactionsPerPurchaser,Transactions per purchaser,The average number of transactions per purchaser.
userEngagementDuration,User engagement,The total amount of time (in seconds) your website or app was in the foreground of users` devices.
userKeyEventRate,User key event rate,The percentage of users who triggered any key event.
wauPerMau,WAU / MAU,"The rolling percent of 30-day active users who are also 7-day active users. This metric is returned as a fraction; for example, 0.234 means 23.4% of 30-day active users were also 7-day active users."
